geo,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46,8.05,7.02,8.46,7.49,7.71,7.68,7.81,7.92,8.19,8.21,7.36,7.13,6.98,6.45,5.76,6.07,5.88
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,,,,,,,,,,,5.37,4.8,4.93,4.1,,,,2.46,2.37,2.33,2.48
Ireland,,,,,,,,,,,,,,2.77,2.57,2.05,1.52,2.31,2.28,2.11,2.01,1.58,1.32,1.29,1.19,1.01,0.83,0.9,0.9,0.93,0.87,0.75,0.71,0.73,0.6,0.59,0.37,0.6,0.7,0.82,0.85,0.63,0.87,0.74,0.71,0.67,0.74,0.63
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.19,0.23,0.22,0.19,0.19,0.23,0.18,0.24,0.18,0.18,0.12,0.07,0.09,,0.14,,0.1,0.09,0.06,0.07,0.06,0.05
Italy,,,,,,,,,,,,,,2.57,2.65,2.6,2.74,2.59,2.55,2.42,2.19,2.33,3.09,2.82,2.82,2.82,2.72,2.82,3.02,2.77,2.83,3.09,2.97,2.93,1.75,1.23,1.27,1.3,1.2,1.14,1.18,1.13,1.07,1,0.98,1.01,1.07,1
Jamaica,,,,,,,,,,,,,,,,,,,,,,2.12,2.19,1.45,1.65,2.01,1.61,1.31,1.28,1.58,1.3,1.15,0.65,0.68,0.5,0.38,0.49,0.52,0.41,,,0.64,0.64,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,2.5,2.3,2.12,1.95,1.88,1.82,1.74,1.75,1.71,1.72,1.65,1.59,1.55,1.56,1.56,1.5,1.21,1.12,1.1,0.99,0.94,0.96,0.97,0.89,0.91,0.83,0.82,0.82
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.72,0.8,1.02,1.04,1.16,0.89,0.65,0.76,0.76,0.77,0.52,0.37,,0.13,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0,0.02,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,9.44,9.61,10.1,8.77,,,6.39,6.02,5.67,5.73,7.12,6.45,4.72,4.98,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,26.8,,,,,24.5,,,,,,,31.9
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,5.27,4.73,5.25,3.43,4.68,4.18,3.53,3.14,2.26,1.58,1.61,1.5,1.68,1.4,1.12,1.07,1.06,1.04,1.04,1.03,1.03
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,,,3.95,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,4.12,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,3.89,2.47,3.25,2.93,3.04,2.04,2.04,1.59,1.21,1,1.33,1.44,1.3,1.15,0.87,1.16,0.86,0.74,0.65
Luxembourg,,,,,,,,,,,,,,0.84,0.73,0.7,0.52,0.44,0.33,0.43,0.42,0.25,0.22,0.26,,0.18,0.15,0.19,,0.2,,0.17,,,,0.03,0.03,,,0.39,0.19,0.33,0.31,0.22,0.42,0.63,0.61,0.7
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,3.44,6.16,6.65,7.39,9.39,7.8,7.02,6.36,6.42,7.11,7.02,6.33,6.66,6.03,6.08,4.98,5.38,5.54,5.06,4.23,3.38
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,24.3,,,,,,,,,,29.7,,32.1,,,,,30.7,,26.8,,,23.5,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.53,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,2.37,,,,3.29,2.95,2.74,2.99,3.3,2.66,2.31,2.06,2.16,2.43,2.3,2.76,2.74,2.61,2.44,2.47,2.41,2.6,2.48,2.28,2.16,2.34,
Maldives,,,,,,,,,,,,,,,,,,,,,4.03,,,,,4.11,,,,,1.29,,,,,,,,,,,,,,2.91,,2.35,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,30.9,18.5,,,,,,,38.5,29.4,25.8,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,1.49,,,,,1.58,,,,,0.46,0.92,0.65,0.86,0.77,0.85,0.66,0.91,0.87,0.67,0.87,0.67,0.78,0.8,0.84,1.07,0.87,
Mexico,,,,,,,,,,,,,,,,,,,,,6.51,11.1,9.37,12.2,9.86,9.24,9.1,8.89,7.89,7.37,6.13,6,6.27,6,5.72,5.08,4.6,4.52,4.5,4.65,4.79,4.33,4.43,4.26,4.02,3.86,3.46,3.32
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29,5.47,4.74,4.75,1.32,0.54,0.79,1.57,1.27,1.3,1.76,1.87,1.77,1.35,1.29,1.33,2.59,2.18,2.05
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,18.4,,,,19.9,14.8,10.3,4.56,2.79,2.7,0.95,1.31,0.82,1.41,1.43
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,,1.48,2.53,1.39,1.43,1.09,1.78,,,1.82,1.7,2.18
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,16.4,21.4,5.47,5.63,22.3,21.6,23.1,22.8,17,16.5,15,15.6,14.1,13.2,12.5,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,,,,,,,13.5,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69,,16.6
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,6.4,,,2.59,12.8,,,3.23,,,,1,,2.09,,4.57,3.77,5.05,,2.75,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,,,,,,,,,
Netherlands,,,,,,,,,,,,,,0.47,,0.38,,0.6,0.41,0.29,0.34,0.34,0.33,0.38,0.43,0.43,0.41,0.32,0.23,0.2,0.33,0.27,0.18,0.19,0.18,0.21,0.19,0.23,0.18,0.2,0.25,0.29,0.3,0.26,0.23,0.3,0.22,0.16
New Zealand,,,,,,,,,,,,,,,,,0.58,0.4,0.35,0.49,0.71,0.8,0.69,0.69,0.64,0.68,0.71,0.57,0.49,0.62,0.5,0.58,0.56,0.48,0.34,0.39,0.61,0.75,0.7,0.81,0.78,0.67,0.72,0.87,0.74,0.74,0.79,0.63
